Gender,Geographic Region,Loyalty Status,Neigborhood Cluster-55 Level,Neighborhood Cluster-7 Level,Television Region,Affluence Grade,Age,Loyalty Card Tenure,ORGANICS
F,Midlands,Gold,14.0,B,East,5,57,2,0
M,Scottish,Silver,17.0,C,C Scotland,8,62,14,0
M,South East,Silver,22.0,C,S & S East,8,55,5,0
F,Midlands,Tin,4.0,A,Midlands,9,57,11,0
F,South East,Tin,15.0,B,S & S East,4,53,8,0
F,Midlands,Tin,50.0,F,Midlands,8,40,10,1
F,South East,Gold,12.0,B,London,13,53,2,1
F,South East,Silver,28.0,D,S & S East,6,51,5,0
F,North,Tin,52.0,F,N West,11,45,5,0
F,South East,Silver,12.0,B,London,9,59,4,0
M,Midlands,Tin,28.0,D,Midlands,7,31,7,1
F,Midlands,Silver,52.0,F,Wales & West,10,47,2,0
M,South East,Silver,52.0,F,London,7,38,7,0
M,North,Gold,5.0,B,N East,9,51,4,0
F,South East,Gold,8.0,B,London,6,73,11,0
M,Midlands,Silver,27.193651677572046,B,Ulster,10,52,9,0
F,South East,Gold,13.0,B,London,13,77,5,0
F,Midlands,Silver,15.0,B,Midlands,6,70,5,0
F,Midlands,Tin,12.0,B,Midlands,4,62,11,0
F,South East,Tin,14.0,B,London,4,70,4,0
F,North,Gold,10.0,B,N West,10,62,3,0
M,Midlands,Tin,51.0,F,Midlands,4,41,5,0
M,Midlands,Tin,34.0,D,East,10,53,8,0
M,North,Gold,32.0,D,N East,13,52,1,0
M,North,Silver,35.0,D,N West,15,54,1,0
M,South East,Silver,38.0,E,London,15,53,10,0
M,North,Silver,15.0,B,N East,5,67,14,0
F,South East,Gold,19.0,C,S & S East,10,67,14,0
F,Midlands,Platinum,17.0,C,Midlands,12,40,3,1
F,Scottish,Platinum,52.0,F,C Scotland,13,60,5,1
F,South East,Tin,8.0,B,London,13,64,7,1
M,South East,Gold,23.0,C,S & S East,6,51,7,0
M,South East,Silver,20.0,C,London,8,32,4,0
F,Midlands,Platinum,4.0,A,East,8,71,5,1
M,Midlands,Silver,12.0,B,East,13,53,5,0
F,South East,Silver,38.0,E,S & S East,8,45,6,0
M,South East,Tin,53.0,F,London,5,62,7,0
F,South East,Gold,41.0,E,London,6,67,6,0
F,South East,Tin,20.0,C,London,4,55,8,0
F,Midlands,Platinum,33.0,D,Midlands,9,68,3,1
F,South East,Silver,24.0,C,London,5,45,8,0
M,North,Silver,25.0,C,Yorkshire,6,37,9,0
F,South East,Platinum,16.0,C,London,10,47,1,0
F,North,Tin,24.0,C,N West,4,51,7,0
F,North,Gold,1.0,A,N East,4,71,7,0
F,Midlands,Silver,51.0,F,Wales & West,10,75,9,1
F,Midlands,Gold,38.0,E,Wales & West,8,70,4,0
F,North,Silver,35.0,D,N West,7,69,9,0
M,Scottish,Silver,35.0,D,C Scotland,10,47,5,0
M,Midlands,Silver,24.0,C,Midlands,4,45,8,0
F,South East,Tin,38.0,E,London,15,33,5,1
F,Midlands,Gold,27.193651677572046,E,Ulster,10,72,14,0
F,Midlands,Gold,33.0,D,Midlands,4,57,2,0
F,South East,Tin,23.0,C,London,11,69,8,0
F,Midlands,Silver,32.0,D,Midlands,11,41,9,0
M,North,Platinum,27.0,D,Yorkshire,5,68,3,0
M,South East,Tin,34.0,D,S & S East,9,49,4,0
F,South East,Silver,16.0,C,S & S East,9,44,11,0
M,South East,Silver,30.0,D,S & S East,6,53,5,0
F,South East,Gold,24.0,C,London,6,52,5,1
F,South East,Silver,44.0,E,London,10,36,9,1
F,South East,Silver,30.0,D,S & S East,7,59,5,0
F,South East,Gold,28.0,D,S & S East,8,51,7,0
F,North,Tin,51.0,F,N West,15,26,5,1
F,Midlands,Gold,20.0,C,Midlands,8,54,6,1
F,South East,Silver,10.0,B,London,8,42,5,1
F,Midlands,Gold,27.193651677572046,B,Ulster,15,64,2,1
F,South East,Tin,12.0,B,London,5,73,8,0
F,North,Silver,10.0,B,Yorkshire,7,64,2,0
F,North,Tin,53.0,F,N West,5,41,5,0
F,Midlands,Silver,2.0,A,Wales & West,8,65,5,1
F,North,Gold,15.0,B,N East,11,68,5,0
F,South East,Silver,33.0,D,S & S East,13,62,2,0
M,South East,Tin,4.0,A,London,10,59,9,0
M,Midlands,Gold,52.0,F,Midlands,7,64,14,0
F,South East,Gold,1.0,A,London,6,69,13,0
F,South East,Gold,1.0,A,London,12,55,14,0
F,North,Tin,51.0,F,Yorkshire,6,53,9,0
M,South East,Silver,26.0,C,London,8,59,7,0
M,South East,Silver,25.0,C,London,13,40,7,1
M,North,Silver,27.0,D,N West,9,76,8,1
M,North,Tin,34.0,D,N West,4,53,5,0
F,North,Gold,35.0,D,Yorkshire,7,63,4,0
F,South East,Tin,1.0,A,London,10,67,8,0
M,Scottish,Platinum,7.0,B,C Scotland,4,43,7,0
M,Midlands,Tin,51.0,F,East,6,49,5,0
F,South East,Silver,37.0,E,S & S East,9,75,2,0
F,Scottish,Silver,18.0,C,N Scot,14,72,7,0
F,Midlands,Silver,5.0,B,East,9,47,6,1
F,South East,Gold,51.0,F,S & S East,10,70,1,0
F,North,Silver,14.0,B,N West,13,37,4,1
F,North,Gold,34.0,D,N West,9,59,2,0
M,Scottish,Platinum,35.0,D,C Scotland,11,66,14,0
M,South East,Silver,44.0,E,S & S East,8,64,9,0
F,South West,Tin,37.0,E,S West,11,42,4,1
F,Midlands,Tin,14.0,B,Midlands,4,69,4,0
F,South East,Silver,3.0,A,London,13,74,6,0
F,Midlands,Gold,6.0,B,Wales & West,4,72,14,0
F,North,Silver,32.0,D,Yorkshire,9,57,1,0
F,North,Tin,10.0,B,N West,8,46,5,0
F,Midlands,Tin,23.0,C,Wales & West,10,78,9,1
F,Scottish,Silver,44.0,E,C Scotland,12,40,1,0
F,South East,Tin,14.0,B,S & S East,7,51,5,0
F,Midlands,Silver,19.0,C,Midlands,5,35,3,0
F,North,Silver,23.0,C,N East,10,57,8,0
F,South West,Tin,16.0,C,S West,8,48,5,0
M,Midlands,Silver,28.0,D,Midlands,10,53,1,0
F,Midlands,Silver,51.0,F,Wales & West,9,74,4,1
F,North,Tin,24.0,C,N West,14,54,9,1
F,Scottish,Silver,1.0,A,C Scotland,5,68,14,0
M,Midlands,Silver,33.0,D,Midlands,10,76,6,1
F,North,Silver,35.0,D,N West,4,48,12,0
F,Midlands,Tin,50.0,F,Wales & West,5,47,4,0
M,North,Silver,31.0,D,Yorkshire,4,29,5,0
M,Midlands,Gold,52.0,F,East,7,60,3,0
F,South East,Gold,9.0,B,London,9,33,13,1
F,South East,Tin,41.0,E,London,4,55,5,0
F,Midlands,Gold,34.0,D,East,4,66,4,0
F,North,Silver,37.0,E,Yorkshire,11,47,10,1
F,North,Silver,53.0,F,N West,11,32,5,1
F,Midlands,Silver,8.0,B,East,12,69,8,0
F,South East,Silver,42.0,E,S & S East,6,52,11,0
F,North,Gold,13.0,B,N West,9,53,2,0
F,Midlands,Silver,47.0,F,East,4,46,5,0
F,South East,Silver,17.0,C,London,5,35,2,0
F,South East,Gold,52.0,F,London,5,63,8,0
M,South East,Tin,19.0,C,London,11,41,5,0
M,South West,Silver,6.0,B,S West,10,71,4,0
F,Scottish,Silver,10.0,B,C Scotland,14,48,4,1
F,North,Gold,55.0,U,N East,13,76,14,1
M,South East,Gold,26.0,C,London,8,46,2,0
F,South East,Tin,51.0,F,London,5,43,5,0
F,Midlands,Tin,53.0,F,East,10,44,5,0
F,South East,Tin,21.0,C,London,8,35,8,0
F,Midlands,Gold,52.0,F,Midlands,12,73,7,0
F,South East,Silver,31.0,D,London,9,32,6,0
F,Midlands,Silver,3.0,A,Midlands,10,48,10,0
F,Midlands,Silver,27.193651677572046,A,Ulster,6,58,1,0
F,South East,Silver,4.0,A,London,12,54,2,0
F,South East,Tin,52.0,F,London,9,49,5,1
F,Midlands,Silver,20.0,C,Wales & West,10,66,3,1
F,Midlands,Tin,8.0,B,East,5,58,8,0
F,Midlands,Tin,34.0,D,East,10,44,4,1
F,Scottish,Silver,41.0,E,C Scotland,6,45,1,0
M,South East,Gold,26.0,C,London,15,33,9,1
M,South East,Platinum,12.0,B,London,12,70,14,0
M,South East,Silver,24.0,C,S & S East,15,45,2,0
F,South East,Silver,4.0,A,London,10,50,4,0
F,North,Tin,32.0,D,N East,10,53,5,0
F,South East,Silver,35.0,D,London,4,64,13,0
F,South West,Gold,30.0,D,S West,6,68,12,0
M,South East,Silver,10.0,B,S & S East,8,76,14,0
M,South East,Gold,51.0,F,S & S East,10,43,5,1
F,South East,Silver,22.0,C,London,12,65,8,0
F,South East,Tin,24.0,C,London,7,51,8,0
F,North,Gold,34.0,D,N East,6,52,4,0
F,South East,Silver,24.0,C,London,6,46,9,0
F,South East,Tin,4.0,A,London,8,43,5,1
F,South East,Gold,4.0,A,S & S East,10,71,5,0
M,North,Gold,12.0,B,N West,5,59,1,1
F,North,Silver,22.0,C,N West,10,53,9,0
F,Midlands,Gold,37.0,E,East,15,54,2,0
F,North,Tin,27.0,D,N East,13,52,5,0
M,South West,Gold,51.0,F,S West,4,76,13,0
F,North,Gold,27.0,D,Yorkshire,7,71,4,0
F,North,Silver,5.0,B,N East,7,24,5,1
F,South East,Silver,8.0,B,S & S East,4,76,11,0
F,South East,Tin,22.0,C,London,5,53,5,0
M,Midlands,Tin,27.193651677572046,C,Wales & West,8,52,9,0
F,North,Silver,4.0,A,Yorkshire,4,50,5,0
F,Midlands,Tin,24.0,C,Wales & West,6,44,5,0
M,South West,Silver,19.0,C,S West,10,55,5,0
M,North,Silver,24.0,C,N West,10,66,2,0
F,North,Silver,35.0,D,Yorkshire,8,59,4,0
F,South East,Tin,51.0,F,London,7,50,8,0
F,Midlands,Tin,19.0,C,Midlands,14,57,5,0
F,South East,Gold,32.0,D,S & S East,15,51,1,1
F,Midlands,Tin,52.0,F,Midlands,11,34,9,1
M,South East,Tin,2.0,A,London,6,76,7,1
M,South East,Tin,35.0,D,London,6,39,1,0
F,Midlands,Gold,19.0,C,Midlands,10,56,5,0
F,South East,Tin,10.0,B,London,10,59,5,0
F,Scottish,Silver,11.0,B,Border,5,59,4,0
F,Midlands,Tin,49.0,F,Midlands,7,38,5,1
F,North,Silver,12.0,B,N West,9,72,3,1
F,North,Gold,52.0,F,N East,11,64,4,1
F,South East,Silver,27.0,D,London,9,43,8,0
F,South East,Gold,7.0,B,London,11,64,5,0
M,South West,Silver,5.0,B,S West,4,67,1,0
F,South East,Tin,31.0,D,London,8,39,5,1
F,North,Tin,35.0,D,Yorkshire,8,67,5,0
F,North,Tin,37.0,E,N West,8,62,5,0
F,Midlands,Platinum,53.0,F,Midlands,7,62,2,0
F,South East,Gold,6.0,B,S & S East,7,67,2,0
F,Midlands,Platinum,27.193651677572046,B,Ulster,10,55,12,0
F,North,Tin,10.0,B,N West,7,53,5,1
M,Midlands,Silver,31.0,D,Midlands,6,50,1,0
F,North,Tin,4.0,A,N West,8,49,8,0
F,Midlands,Gold,53.0,F,Midlands,4,79,2,0
F,South East,Gold,41.0,E,London,7,66,2,0
F,South East,Gold,53.0,F,London,11,65,5,0
F,South East,Gold,52.0,F,London,13,53,8,1
F,North,Tin,44.0,E,N West,8,53,5,1
M,North,Silver,22.0,C,Yorkshire,9,53,3,0
F,South East,Gold,19.0,C,London,13,53,1,0
F,South East,Silver,25.0,C,S & S East,6,70,4,0
F,South East,Silver,8.0,B,S & S East,9,41,5,1
F,Midlands,Silver,53.0,F,Midlands,4,64,6,0
F,North,Gold,11.0,B,N East,8,72,4,0
F,Midlands,Gold,11.0,B,East,13,73,1,0
F,South West,Tin,19.0,C,S West,11,58,8,0
F,Midlands,Silver,35.0,D,Midlands,10,57,9,0
F,Midlands,Gold,5.0,B,East,9,54,5,0
M,South East,Tin,44.0,E,S & S East,11,50,5,1
M,Midlands,Tin,20.0,C,Wales & West,6,43,8,0
M,South East,Gold,17.0,C,S & S East,7,53,1,0
F,South East,Silver,9.0,B,London,10,53,4,0
F,North,Silver,27.0,D,N West,15,72,2,0
F,Midlands,Silver,12.0,B,Midlands,10,44,5,0
F,North,Silver,38.0,E,Yorkshire,15,71,4,1
F,Midlands,Silver,44.0,E,Midlands,8,56,10,0
M,Midlands,Gold,19.0,C,Midlands,7,66,14,0
F,Midlands,Gold,4.0,A,East,10,53,1,0
F,North,Gold,47.0,F,N East,8,49,12,0
M,South East,Tin,4.0,A,London,7,45,7,0
F,Midlands,Silver,8.0,B,Midlands,8,53,3,1
F,South East,Tin,23.0,C,S & S East,4,64,5,0
F,North,Silver,16.0,C,N West,8,67,7,1
F,North,Tin,38.0,E,Yorkshire,12,53,8,1
F,North,Gold,12.0,B,N West,6,70,8,0
F,Midlands,Tin,8.0,B,Wales & West,5,63,5,0
M,South East,Silver,5.0,B,S & S East,6,50,8,0
F,South East,Gold,8.0,B,London,9,66,2,1
F,South East,Gold,14.0,B,S & S East,9,62,12,1
F,North,Silver,12.0,B,N West,9,50,5,0
M,South East,Tin,52.0,F,London,15,41,7,0
F,South East,Silver,49.0,F,S & S East,8,63,8,0
M,South East,Tin,17.0,C,London,7,47,5,0
M,South West,Silver,38.0,E,S West,6,53,12,0
M,North,Silver,10.0,B,Yorkshire,6,23,4,0
M,Midlands,Gold,27.193651677572046,B,Ulster,10,69,4,0
F,South East,Tin,27.193651677572046,B,London,11,34,9,1
M,Scottish,Tin,45.0,E,Border,4,50,8,0
F,South East,Silver,51.0,F,London,12,32,1,1
F,South East,Silver,9.0,B,London,15,52,7,1
F,North,Silver,52.0,F,N West,13,35,12,1
F,South East,Gold,1.0,A,London,12,59,11,0
F,South West,Gold,19.0,C,S West,4,57,5,0
M,South East,Gold,4.0,A,London,9,66,14,0
F,Midlands,Gold,19.0,C,Midlands,8,51,2,0
F,North,Silver,12.0,B,Yorkshire,5,64,5,0
F,Midlands,Gold,52.0,F,East,10,68,6,0
F,North,Silver,52.0,F,Yorkshire,5,26,8,0
F,North,Silver,37.0,E,Yorkshire,8,60,5,0
F,South East,Gold,16.0,C,London,9,49,4,1
F,Midlands,Gold,28.0,D,Midlands,9,47,4,0
M,Midlands,Silver,24.0,C,Midlands,11,54,1,0
F,Midlands,Tin,27.0,D,Midlands,4,44,5,0
F,Midlands,Tin,17.0,C,Midlands,5,49,5,0
M,Midlands,Gold,27.0,D,Midlands,9,53,6,0
F,South East,Silver,31.0,D,S & S East,5,28,5,0
F,North,Tin,16.0,C,N West,9,55,6,0
F,Midlands,Silver,33.0,D,Midlands,4,58,14,0
M,Midlands,Tin,34.0,D,Midlands,8,40,8,0
F,Scottish,Tin,46.0,F,N Scot,5,53,4,1
F,Midlands,Tin,8.0,B,Wales & West,13,62,8,0
M,North,Tin,52.0,F,N West,11,48,5,0
F,Midlands,Gold,27.193651677572046,F,Ulster,13,58,9,0
F,North,Gold,4.0,A,N West,7,58,4,0
M,North,Tin,37.0,E,N West,9,61,5,0
F,North,Silver,49.0,F,Yorkshire,4,66,5,0
F,South East,Silver,55.0,U,London,7,33,3,0
M,Midlands,Silver,44.0,E,Midlands,8,48,8,0
M,Midlands,Gold,2.0,A,Wales & West,4,47,2,0
F,Midlands,Gold,27.193651677572046,A,Ulster,9,39,3,1
F,North,Tin,17.0,C,N East,13,44,8,0
F,North,Gold,1.0,A,N East,5,42,1,1
M,South East,Tin,21.0,C,London,15,34,4,1
F,South West,Silver,19.0,C,S West,4,74,5,0
M,South East,Tin,50.0,F,London,7,61,6,0
F,South East,Silver,4.0,A,London,9,71,1,0
F,North,Tin,22.0,C,N West,4,41,5,0
F,South East,Silver,3.0,A,London,9,42,9,0
F,South East,Tin,28.0,D,London,8,33,8,0
M,South East,Silver,12.0,B,London,9,48,10,0
M,Midlands,Silver,35.0,D,Wales & West,9,55,2,0
M,South East,Silver,22.0,C,London,12,40,8,0
M,Midlands,Gold,46.0,F,Wales & West,5,55,7,0
F,Scottish,Silver,32.0,D,N Scot,15,50,14,0
F,South East,Tin,51.0,F,S & S East,8,37,5,1
F,South East,Silver,52.0,F,S & S East,6,75,14,0
F,South East,Silver,6.0,B,S & S East,8,75,7,0
F,Midlands,Silver,48.0,F,Midlands,9,69,5,0
F,South East,Silver,8.0,B,London,6,67,9,0
F,Midlands,Silver,27.193651677572046,B,Ulster,7,61,7,0
F,South East,Silver,13.0,B,S & S East,9,31,5,0
M,Scottish,Gold,39.0,E,C Scotland,15,38,1,1
M,South East,Silver,6.0,B,S & S East,9,75,11,0
M,Scottish,Tin,38.0,E,Border,7,53,4,0
F,South East,Silver,21.0,C,London,12,30,1,1
F,South East,Platinum,4.0,A,London,6,71,1,0
F,Midlands,Silver,38.0,E,Wales & West,7,68,9,0
F,Midlands,Tin,38.0,E,Midlands,11,28,8,0
M,Scottish,Silver,3.0,A,C Scotland,10,66,9,0
M,Scottish,Silver,17.0,C,C Scotland,15,50,3,0
F,North,Tin,6.0,B,Yorkshire,8,65,4,1
F,Midlands,Tin,27.0,D,East,6,48,4,0
M,South East,Gold,4.0,A,London,6,55,5,0
F,South West,Tin,27.0,D,S West,11,38,8,0
F,Midlands,Tin,34.0,D,Wales & West,11,51,9,0
F,South East,Tin,34.0,D,London,15,41,8,1
F,South East,Silver,3.0,A,London,4,61,13,0
M,Midlands,Silver,23.0,C,Wales & West,9,66,1,1
M,South East,Gold,4.0,A,London,10,47,2,0
M,Scottish,Gold,51.0,F,C Scotland,7,65,4,0
M,South East,Tin,8.0,B,London,5,44,8,1
F,Midlands,Gold,35.0,D,Wales & West,12,53,3,0
F,North,Silver,4.0,A,N West,8,42,14,0
F,South East,Gold,32.0,D,S & S East,12,55,3,0
M,South East,Silver,14.0,B,London,15,33,8,1
M,Midlands,Gold,24.0,C,Wales & West,13,60,5,0
M,Midlands,Gold,35.0,D,Wales & West,7,58,4,0
F,Midlands,Silver,47.0,F,Midlands,7,59,1,0
F,South East,Silver,28.0,D,London,10,52,3,0
F,South East,Tin,22.0,C,London,9,48,8,0
F,Midlands,Gold,35.0,D,Wales & West,7,66,2,0
M,South East,Gold,3.0,A,London,12,65,5,1
M,Midlands,Platinum,38.0,E,Midlands,12,62,3,0
F,Midlands,Tin,34.0,D,East,6,53,5,0
F,Midlands,Tin,50.0,F,Wales & West,10,38,6,1
M,North,Tin,35.0,D,N West,11,48,5,0
F,Midlands,Gold,17.0,C,East,4,61,3,0
F,South East,Tin,38.0,E,London,5,34,8,0
F,South East,Tin,21.0,C,S & S East,15,31,5,1
F,South West,Gold,6.0,B,S West,7,78,14,0
F,North,Tin,25.0,C,Yorkshire,6,64,8,0
F,South East,Silver,10.0,B,London,6,35,5,1
M,North,Tin,51.0,F,Yorkshire,7,47,5,0
M,Scottish,Gold,42.0,E,C Scotland,7,79,14,0
F,North,Tin,52.0,F,N East,5,64,5,0
F,South East,Gold,33.0,D,S & S East,12,51,4,0
F,South East,Tin,28.0,D,S & S East,13,53,5,1
M,Midlands,Tin,19.0,C,East,12,53,5,0
M,Midlands,Silver,2.0,A,Midlands,7,76,14,0
M,South East,Gold,4.0,A,London,8,57,3,0
F,Midlands,Tin,50.0,F,East,5,33,5,0
M,North,Silver,12.0,B,N West,6,56,9,0
M,South West,Silver,16.0,C,S West,11,59,9,0
F,South East,Platinum,3.0,A,London,6,73,3,0
F,South East,Gold,27.0,D,London,15,34,8,0
F,Midlands,Gold,30.0,D,East,4,71,14,0
M,Midlands,Gold,2.0,A,East,9,50,2,0
M,North,Silver,28.0,D,Yorkshire,7,53,9,0
M,Midlands,Silver,44.0,E,Midlands,5,76,11,0
F,South East,Tin,34.0,D,London,5,57,11,0
F,Midlands,Gold,44.0,E,East,11,72,3,0
F,Midlands,Tin,14.0,B,East,8,59,8,0
F,Midlands,Silver,52.0,F,East,11,53,5,0
F,Midlands,Tin,27.193651677572046,F,Midlands,8,49,9,0
F,Scottish,Silver,41.0,E,Border,6,61,7,0
F,Midlands,Gold,37.0,E,Midlands,9,71,2,0
F,South East,Tin,41.0,E,London,7,45,8,0
F,South East,Gold,48.0,F,London,7,66,5,0
F,Midlands,Silver,27.193651677572046,F,East,12,55,8,0
F,Midlands,Gold,33.0,D,Midlands,7,58,8,0
F,South West,Silver,15.0,B,S West,8,76,3,0
F,North,Silver,18.0,C,Yorkshire,8,45,8,0
F,North,Silver,17.0,C,N West,8,53,9,0
F,Midlands,Silver,1.0,A,Midlands,5,66,14,0
M,South East,Tin,38.0,E,S & S East,5,51,10,0
F,Midlands,Silver,37.0,E,East,8,64,10,0
F,South East,Silver,27.0,D,London,10,66,2,0
F,Scottish,Gold,23.0,C,N Scot,4,75,7,0
M,Midlands,Gold,37.0,E,Midlands,5,68,14,0
F,North,Silver,52.0,F,N East,10,63,8,0
F,Midlands,Silver,47.0,F,East,9,30,1,1
F,Midlands,Tin,1.0,A,Midlands,6,52,11,0
F,Scottish,Silver,25.0,C,C Scotland,8,53,2,0
M,South East,Tin,48.0,F,London,10,29,5,0
M,North,Silver,10.0,B,Yorkshire,5,72,11,0
F,Midlands,Silver,35.0,D,Wales & West,6,56,9,0
F,South East,Tin,12.0,B,London,12,45,5,0
F,South East,Tin,52.0,F,London,9,38,5,1
F,Midlands,Silver,4.0,A,Midlands,6,66,4,0
F,South East,Silver,52.0,F,London,4,30,6,0
F,Midlands,Silver,27.193651677572046,F,Ulster,10,53,8,0
F,Midlands,Silver,33.0,D,Midlands,10,57,5,0
F,South East,Tin,17.0,C,London,7,41,9,0
F,North,Gold,8.0,B,N East,13,37,1,0
M,South East,Gold,6.0,B,S & S East,10,71,9,0
M,Scottish,Platinum,27.0,D,Border,7,62,3,0
M,South East,Silver,5.0,B,London,12,33,4,1
F,South East,Silver,6.0,B,S & S East,15,57,5,1
F,South East,Tin,27.0,D,London,6,48,8,0
F,South East,Tin,28.0,D,S & S East,8,39,7,1
F,South East,Tin,38.0,E,London,8,48,9,0
F,South East,Silver,19.0,C,S & S East,7,37,1,0
M,Midlands,Tin,28.0,D,East,8,43,7,0
F,Midlands,Tin,28.0,D,East,5,47,6,0
M,South East,Silver,14.0,B,London,7,62,12,0
F,Midlands,Gold,27.0,D,Midlands,13,59,5,0
M,South East,Silver,13.0,B,S & S East,12,60,7,0
F,Midlands,Gold,19.0,C,Midlands,8,58,2,0
F,Midlands,Tin,52.0,F,East,13,79,9,1
M,North,Tin,27.0,D,N West,7,68,8,0
M,Midlands,Gold,45.0,E,East,9,51,4,0
M,Midlands,Silver,27.0,D,Midlands,12,35,1,0
F,Midlands,Tin,38.0,E,Midlands,8,53,5,1
F,Midlands,Gold,15.0,B,East,9,48,3,1
M,North,Tin,44.0,E,N East,5,49,4,0
F,Midlands,Tin,51.0,F,Wales & West,13,58,5,0
M,South East,Silver,4.0,A,London,10,47,8,0
M,South East,Tin,8.0,B,London,13,60,6,0
M,Midlands,Tin,38.0,E,Midlands,5,51,7,0
F,Scottish,Gold,23.0,C,C Scotland,7,53,2,0
F,South East,Silver,8.0,B,London,11,76,5,0
F,Midlands,Gold,14.0,B,Wales & West,6,77,2,0
F,South West,Tin,52.0,F,S West,8,52,6,0
F,North,Gold,6.0,B,N West,4,73,9,0
M,Midlands,Tin,22.0,C,Midlands,7,39,5,0
M,South East,Gold,3.0,A,London,8,34,1,0
F,Midlands,Tin,25.0,C,Wales & West,9,49,9,0
M,Midlands,Tin,6.0,B,Wales & West,4,60,4,0
F,Midlands,Gold,24.0,C,East,4,72,14,0
F,South East,Silver,8.0,B,London,10,64,1,1
M,North,Silver,14.0,B,N West,8,37,5,0
F,Midlands,Silver,33.0,D,Wales & West,13,34,14,1
F,Midlands,Tin,31.0,D,Midlands,6,53,8,0
F,Midlands,Tin,44.0,E,Midlands,4,43,5,0
F,South East,Gold,20.0,C,London,8,65,2,0
F,Scottish,Tin,31.0,D,C Scotland,10,31,8,1
F,South West,Gold,6.0,B,S West,10,53,1,0
M,North,Silver,24.0,C,Yorkshire,10,62,5,0
M,Scottish,Silver,23.0,C,C Scotland,6,59,8,0
M,Midlands,Silver,27.0,D,Wales & West,8,39,4,1
M,North,Tin,8.0,B,N West,7,60,7,1
F,Midlands,Silver,52.0,F,East,8,41,1,1
F,South East,Silver,20.0,C,London,5,64,6,0
F,North,Silver,35.0,D,Yorkshire,8,38,5,0
F,Midlands,Silver,53.0,F,Wales & West,8,39,4,0
F,Midlands,Tin,27.0,D,Midlands,8,44,5,1
F,Midlands,Gold,37.0,E,Midlands,15,61,8,1
F,North,Gold,12.0,B,N West,14,61,14,1
F,Midlands,Tin,52.0,F,Midlands,9,52,9,0
F,Scottish,Gold,17.0,C,C Scotland,8,58,3,0
F,South East,Silver,7.0,B,London,5,65,6,0
F,South East,Silver,4.0,A,London,11,36,1,1
F,North,Silver,38.0,E,N West,8,39,1,1
F,South East,Silver,4.0,A,London,12,69,5,0
F,South East,Silver,10.0,B,London,5,64,5,0
M,Midlands,Tin,44.0,E,East,7,40,5,0
F,Midlands,Tin,47.0,F,Midlands,4,54,5,0
M,South West,Gold,24.0,C,S West,10,60,1,1
M,Midlands,Tin,48.0,F,Wales & West,7,52,10,0
F,South East,Tin,27.193651677572046,F,London,9,45,9,0
M,South East,Tin,3.0,A,London,4,75,8,0
F,North,Silver,32.0,D,N West,8,63,14,0
F,South East,Silver,9.0,B,London,5,45,11,0
F,Midlands,Tin,35.0,D,Midlands,12,53,4,1
F,North,Gold,25.0,C,N East,7,79,14,0
F,North,Tin,37.0,E,Yorkshire,13,61,14,0
F,South East,Gold,6.0,B,S & S East,7,74,8,0
M,South East,Silver,50.0,F,S & S East,8,59,5,0
F,South East,Gold,6.0,B,S & S East,6,78,4,0
M,Midlands,Silver,25.0,C,Midlands,6,57,5,0
M,Midlands,Tin,8.0,B,Midlands,8,60,8,0
M,Midlands,Tin,12.0,B,East,9,35,5,0
M,South East,Gold,25.0,C,S & S East,9,60,1,0
F,North,Tin,22.0,C,N East,5,45,5,0
F,South East,Gold,27.0,D,London,6,56,4,0
M,North,Gold,28.0,D,Yorkshire,7,60,2,0
F,North,Silver,38.0,E,N East,8,53,8,0
F,Midlands,Silver,27.193651677572046,E,Ulster,10,50,9,1
M,South East,Gold,44.0,E,London,6,66,4,0
F,North,Tin,22.0,C,N West,5,56,8,0
F,South East,Tin,10.0,B,London,14,51,7,0
F,Midlands,Tin,52.0,F,East,7,59,5,0
F,Scottish,Gold,25.0,C,C Scotland,6,31,5,1
F,South East,Silver,16.0,C,London,9,65,9,0
F,Midlands,Gold,41.0,E,Midlands,7,67,2,0
F,South East,Silver,52.0,F,London,4,37,4,1
F,South East,Silver,5.0,B,S & S East,12,53,1,0
F,North,Tin,47.0,F,N West,6,40,4,0
F,South East,Silver,7.0,B,London,6,43,5,0
F,Scottish,Tin,31.0,D,C Scotland,7,45,5,0
F,North,Silver,16.0,C,N West,10,54,1,0
M,South East,Tin,10.0,B,London,9,45,8,0
F,Midlands,Tin,52.0,F,East,11,49,9,1
F,South East,Gold,2.0,A,S & S East,8,70,1,0
F,Midlands,Silver,35.0,D,Midlands,8,69,9,0
M,Midlands,Silver,27.193651677572046,D,Ulster,8,53,1,0
F,Midlands,Gold,45.0,E,Wales & West,4,68,2,0
M,Midlands,Silver,23.0,C,East,12,70,12,0
M,South East,Tin,28.0,D,London,11,48,4,0
F,South East,Silver,48.0,F,London,8,56,10,0
M,Midlands,Silver,8.0,B,Wales & West,10,50,9,0
M,North,Silver,52.0,F,Yorkshire,10,65,5,0
M,Midlands,Silver,38.0,E,Midlands,7,35,10,0
F,Midlands,Gold,5.0,B,Midlands,7,38,1,0
M,South East,Gold,8.0,B,London,7,71,2,0
M,South East,Gold,3.0,A,London,6,57,1,0
F,South East,Silver,14.0,B,London,8,53,3,0
F,South East,Tin,1.0,A,London,7,53,5,0
F,Midlands,Tin,53.0,F,East,10,41,5,1
M,North,Platinum,27.0,D,Yorkshire,5,51,3,0
