Gender,Geographic Region,Loyalty Status,Neighborhood Cluster-7 Level,Affluence Grade,Age,Loyalty Card Tenure,ORGANICS
F,South West,Tin,D,9.0,35.0,5.0,1.0
F,Scottish,Gold,C,7.0,62.0,5.0,1.0
F,Midlands,Platinum,A,6.0,64.0,6.0,0.0
M,North,Tin,D,3.0,51.0,5.0,0.0
F,South East,Silver,E,10.0,28.0,1.0,1.0
F,Scottish,Gold,B,7.0,73.0,8.0,0.0
F,Scottish,Tin,F,9.0,48.0,8.0,0.0
M,South East,Silver,F,18.0,49.0,7.0,0.0
F,South East,Silver,D,8.0,62.0,8.0,0.0
F,North,Gold,D,6.0,57.0,7.0,0.0
F,South East,Gold,F,10.0,38.0,6.0,1.0
M,South East,Gold,C,10.0,66.0,9.0,0.0
M,North,Gold,F,8.0,50.0,3.0,0.0
F,South West,Gold,E,9.0,77.0,3.0,0.0
F,South East,Gold,A,8.0,60.0,3.0,0.0
F,Midlands,Gold,C,9.0,63.0,9.0,0.0
F,Midlands,Tin,F,9.0,44.0,5.0,0.0
M,South East,Tin,F,7.0,39.0,5.0,1.0
M,South East,Tin,C,11.0,49.0,8.0,0.0
F,South East,Silver,C,8.0,32.0,7.0,1.0
F,South East,Silver,E,11.0,62.0,5.0,1.0
M,North,Silver,F,11.0,57.0,5.0,0.0
F,South East,Tin,D,10.0,37.0,5.0,1.0
M,North,Tin,C,4.0,56.0,5.0,0.0
F,South East,Silver,C,6.0,37.0,9.0,0.0
M,South East,Tin,F,9.0,40.0,5.0,0.0
M,South East,Silver,A,9.0,73.0,6.549493629532832,1.0
F,South East,Silver,D,10.0,49.0,8.0,0.0
F,South East,Tin,F,11.0,26.0,4.0,1.0
M,South East,Gold,A,8.0,44.0,6.549493629532832,0.0
M,Midlands,Silver,C,14.0,48.0,5.0,0.0
F,South East,Gold,E,11.0,65.0,4.0,0.0
M,Midlands,Silver,F,16.0,65.0,8.0,0.0
F,South West,Silver,D,11.0,74.0,4.0,0.0
M,North,Gold,B,6.0,49.0,6.549493629532832,0.0
F,Midlands,Tin,D,8.0,61.0,8.0,1.0
M,Midlands,Silver,D,3.0,69.0,8.0,0.0
F,North,Silver,E,13.0,26.0,1.0,1.0
M,South East,Silver,D,6.0,66.0,8.0,0.0
M,South East,Gold,E,9.0,67.0,5.0,0.0
M,Scottish,Silver,F,14.0,41.0,8.0,0.0
M,South East,Silver,C,7.0,58.0,9.0,0.0
M,Midlands,Gold,F,10.0,35.0,11.0,1.0
F,South East,Tin,B,8.0,33.0,11.0,1.0
M,Midlands,Silver,C,7.0,52.0,12.0,0.0
M,South East,Tin,C,9.0,49.0,5.0,0.0
F,North,Silver,A,12.0,47.0,7.0,1.0
M,Midlands,Silver,C,6.0,52.0,8.0,0.0
F,South East,Gold,F,2.0,69.0,6.0,0.0
F,South East,Tin,A,15.0,47.0,6.0,0.0
F,South East,Silver,B,10.0,63.0,9.0,0.0
F,Midlands,Tin,D,6.0,53.0,9.0,0.0
F,South East,Silver,C,4.0,69.0,16.0,1.0
M,South East,Gold,A,7.0,61.0,3.0,0.0
F,South East,Gold,B,10.0,64.0,13.0,1.0
M,South East,Silver,D,5.0,39.0,11.0,0.0
F,South East,Silver,D,11.0,40.0,9.0,0.0
F,South East,Silver,C,5.0,65.0,5.0,0.0
M,Midlands,Platinum,C,6.0,68.0,11.0,0.0
F,North,Silver,F,6.0,31.0,2.0,1.0
F,Midlands,Tin,F,11.0,43.0,4.0,1.0
M,Midlands,Tin,A,10.0,53.0,5.0,0.0
F,Midlands,Gold,C,8.0,43.0,4.0,0.0
M,South East,Silver,B,9.0,61.0,16.0,1.0
F,Midlands,Tin,C,4.0,52.0,7.0,0.0
M,Midlands,Silver,D,6.0,45.0,8.0,0.0
F,Scottish,Gold,B,16.0,65.0,7.0,0.0
F,South East,Gold,E,7.0,60.0,4.0,0.0
F,Midlands,Silver,D,7.0,59.0,5.0,0.0
M,Midlands,Gold,F,12.0,52.0,2.0,0.0
M,North,Silver,B,6.0,55.0,5.0,0.0
F,South East,Gold,A,14.0,46.0,2.0,1.0
F,South East,Silver,D,6.0,32.0,9.0,1.0
M,Midlands,Tin,F,9.0,53.0,5.0,0.0
F,Midlands,Platinum,C,13.0,79.0,6.549493629532832,0.0
F,South East,Tin,D,6.0,36.0,4.0,0.0
M,Midlands,Tin,C,10.0,61.0,8.0,0.0
F,Midlands,Tin,B,14.0,39.0,9.0,1.0
F,North,Silver,F,6.0,54.0,7.0,0.0
F,Midlands,Silver,D,9.0,24.0,7.0,1.0
M,South East,Gold,B,7.0,47.0,13.0,0.0
M,South East,Gold,A,12.0,56.0,15.0,0.0
F,North,Tin,E,10.0,48.0,8.0,0.0
M,South East,Silver,F,7.0,41.0,12.0,0.0
M,Midlands,Tin,C,8.0,54.0,5.0,0.0
M,Scottish,Tin,F,11.0,72.0,13.0,0.0
F,South East,Tin,B,7.0,50.0,4.0,0.0
F,North,Platinum,C,5.0,67.0,4.0,0.0
F,Midlands,Tin,D,12.0,53.0,4.0,1.0
F,Midlands,Gold,D,7.0,63.0,9.0,0.0
M,Midlands,Tin,D,6.0,53.0,9.0,0.0
F,South East,Tin,C,9.0,51.0,10.0,0.0
M,Midlands,Tin,D,8.0,33.0,4.0,0.0
F,Midlands,Silver,F,8.0,69.0,5.0,0.0
F,Scottish,Silver,F,11.0,37.0,8.0,1.0
F,North,Tin,F,8.0,49.0,4.0,0.0
F,North,Platinum,B,4.0,51.0,3.0,0.0
F,Midlands,Tin,D,7.0,42.0,8.0,1.0
M,North,Gold,F,6.0,24.0,2.0,1.0
M,South East,Silver,B,5.0,48.0,5.0,1.0
F,Midlands,Tin,F,6.0,30.0,5.0,0.0
M,South East,Gold,B,10.0,56.0,8.0,1.0
M,South East,Silver,D,9.0,73.0,4.0,0.0
F,South East,Gold,F,7.0,36.0,11.0,0.0
F,Midlands,Gold,B,11.0,71.0,2.0,0.0
F,South East,Silver,B,9.0,48.0,5.0,0.0
F,North,Silver,C,3.0,55.0,5.0,0.0
F,South West,Silver,D,9.0,78.0,9.0,1.0
F,North,Tin,C,12.0,46.0,5.0,0.0
F,South East,Silver,F,9.0,76.0,5.0,0.0
F,South East,Gold,B,8.0,72.0,3.0,0.0
F,North,Tin,E,10.0,53.0,5.0,0.0
F,South East,Silver,E,8.0,33.0,8.0,0.0
F,South East,Silver,E,3.0,63.0,8.0,0.0
M,South West,Gold,C,6.0,72.0,2.0,1.0
M,Midlands,Silver,B,6.0,41.0,9.0,0.0
M,Midlands,Tin,C,6.0,67.0,8.0,0.0
F,South East,Silver,D,14.0,69.0,4.0,0.0
F,Midlands,Silver,F,10.0,34.0,9.0,1.0
F,South East,Gold,D,8.0,53.0,2.0,0.0
F,South East,Silver,D,12.0,47.0,1.0,0.0
M,North,Silver,B,3.0,53.0,8.0,0.0
F,Midlands,Gold,C,8.0,59.0,2.0,0.0
M,South East,Silver,C,8.0,61.0,11.0,0.0
M,South East,Tin,C,9.0,42.0,8.0,1.0
F,South East,Gold,B,15.0,58.0,7.0,1.0
F,North,Tin,F,11.0,51.0,8.0,0.0
F,Midlands,Gold,D,7.0,56.0,6.0,0.0
F,North,Silver,F,10.0,46.0,2.0,0.0
F,South East,Gold,B,2.0,60.0,3.0,1.0
F,Scottish,Silver,F,10.0,55.0,8.0,0.0
F,South East,Silver,A,6.0,51.0,2.0,0.0
F,Midlands,Silver,F,8.0,31.0,9.0,1.0
F,Midlands,Tin,F,8.0,38.0,8.0,0.0
M,North,Tin,D,1.0,46.0,5.0,0.0
M,South East,Tin,D,5.0,55.0,8.0,0.0
M,South East,Silver,A,11.0,50.0,3.0,0.0
M,North,Gold,D,11.0,54.0,1.0,0.0
F,Scottish,Silver,B,11.0,40.0,1.0,1.0
F,North,Silver,C,5.0,32.0,5.0,0.0
F,South East,Silver,D,13.0,31.0,4.0,1.0
F,Scottish,Silver,B,6.0,36.0,10.0,1.0
F,Midlands,Gold,C,12.0,37.0,1.0,1.0
F,Midlands,Silver,E,9.0,52.0,7.0,0.0
M,North,Platinum,B,6.0,72.0,11.0,0.0
F,South East,Tin,C,14.0,43.0,4.0,0.0
M,North,Silver,C,7.0,45.0,9.0,0.0
M,South West,Silver,B,3.0,50.0,1.0,1.0
F,South East,Platinum,A,10.0,74.0,15.0,0.0
M,South East,Gold,B,6.0,52.0,6.0,0.0
F,South East,Silver,A,5.0,69.0,16.0,0.0
F,Midlands,Silver,E,7.0,74.0,4.0,0.0
F,North,Gold,C,4.0,77.0,11.0,0.0
F,South West,Tin,C,6.0,60.0,4.0,0.0
F,Midlands,Gold,B,11.0,67.0,4.0,1.0
M,Scottish,Silver,C,9.0,57.0,8.0,0.0
F,South East,Tin,D,6.0,35.0,9.0,1.0
F,Midlands,Silver,B,10.0,56.0,5.0,0.0
F,South East,Gold,D,12.0,41.0,7.0,0.0
F,South East,Silver,C,11.0,68.0,3.0,1.0
F,North,Silver,C,14.0,70.0,1.0,0.0
M,Midlands,Tin,F,7.0,54.0,10.0,0.0
M,South East,Gold,E,6.0,63.0,4.0,0.0
M,South East,Gold,A,14.0,69.0,11.0,1.0
F,South East,Tin,C,10.0,67.0,8.0,0.0
F,South East,Gold,C,7.0,48.0,10.0,0.0
M,Midlands,Gold,C,11.0,62.0,10.0,0.0
F,Midlands,Silver,E,7.0,76.0,12.0,1.0
F,Midlands,Gold,D,11.0,52.0,3.0,1.0
M,Scottish,Gold,B,6.0,29.0,3.0,1.0
F,South East,Tin,B,4.0,51.0,6.0,0.0
M,South East,Tin,C,4.0,52.0,8.0,0.0
M,Midlands,Gold,D,12.0,69.0,4.0,0.0
F,South East,Gold,A,10.0,69.0,16.0,0.0
F,Midlands,Platinum,E,8.0,76.0,12.0,0.0
M,North,Silver,B,6.0,71.0,8.0,0.0
F,Midlands,Tin,E,10.0,40.0,8.0,1.0
F,South East,Gold,A,13.0,41.0,4.0,1.0
M,South East,Tin,A,3.0,52.0,14.0,0.0
M,Midlands,Gold,B,6.0,71.0,11.0,0.0
F,South East,Silver,A,15.0,37.0,8.0,1.0
M,South East,Silver,C,8.881476641620386,35.0,3.0,1.0
F,North,Gold,F,15.0,65.0,4.0,0.0
M,South East,Platinum,C,10.0,75.0,4.0,0.0
F,North,Tin,C,18.0,46.0,8.0,1.0
F,South East,Gold,C,9.0,58.0,17.0,0.0
F,South East,Gold,E,5.0,67.0,4.0,0.0
F,Midlands,Silver,C,8.0,64.0,5.0,1.0
F,South East,Silver,B,7.0,56.0,3.0,0.0
F,Midlands,Tin,D,6.0,51.0,5.0,0.0
F,North,Tin,C,6.0,56.0,7.0,0.0
M,South East,Tin,C,7.0,49.0,8.0,0.0
M,Midlands,Tin,F,5.0,42.0,5.0,0.0
F,South East,Gold,C,9.0,56.0,7.0,0.0
M,North,Silver,C,7.0,51.0,8.0,0.0
F,North,Tin,C,6.0,49.0,8.0,0.0
F,North,Tin,B,12.0,64.0,7.0,1.0
F,Midlands,Silver,D,3.0,68.0,13.0,0.0
F,Midlands,Silver,D,8.881476641620386,38.0,9.0,1.0
F,North,Tin,C,7.0,48.0,5.0,0.0
F,Midlands,Silver,E,10.0,34.0,4.0,1.0
F,North,Tin,E,11.0,34.0,7.0,0.0
M,South East,Tin,C,6.0,50.0,5.0,0.0
F,South East,Silver,E,8.0,41.0,7.0,0.0
F,North,Silver,B,6.0,31.0,8.0,0.0
M,South East,Tin,D,8.0,56.0,8.0,0.0
M,Midlands,Silver,D,12.0,44.0,1.0,0.0
F,Midlands,Gold,E,11.0,68.0,6.549493629532832,0.0
M,Midlands,Silver,D,12.0,27.0,4.0,0.0
F,North,Silver,B,8.0,58.0,10.0,0.0
F,Midlands,Silver,F,18.0,31.0,4.0,1.0
F,North,Silver,E,9.0,43.0,6.0,1.0
M,Midlands,Silver,A,3.0,77.0,5.0,0.0
F,North,Gold,C,8.0,68.0,7.0,0.0
M,South East,Gold,B,5.0,74.0,18.0,0.0
F,Midlands,Tin,F,8.0,43.0,8.0,0.0
F,Midlands,Gold,B,13.0,51.0,4.0,0.0
F,Midlands,Gold,D,11.0,74.0,6.0,0.0
F,South East,Gold,B,5.0,51.0,2.0,0.0
M,Scottish,Tin,C,12.0,47.0,4.0,0.0
F,Scottish,Gold,F,16.0,71.0,12.0,0.0
F,North,Silver,F,5.0,71.0,8.0,0.0
F,South East,Silver,D,8.0,42.0,5.0,1.0
F,South East,Silver,C,6.0,66.0,9.0,0.0
F,South East,Silver,D,10.0,63.0,6.0,0.0
F,North,Silver,A,10.0,37.0,8.0,1.0
F,Midlands,Platinum,D,7.0,73.0,3.0,0.0
F,Midlands,Gold,F,7.0,67.0,4.0,0.0
F,South East,Gold,B,12.0,30.0,4.0,0.0
F,South East,Tin,F,6.0,57.0,4.0,0.0
F,South East,Tin,E,12.0,62.0,5.0,0.0
F,South East,Gold,B,12.0,74.0,5.0,0.0
F,South East,Gold,C,8.0,51.0,9.0,0.0
F,South West,Silver,D,8.0,56.0,5.0,1.0
F,Midlands,Gold,B,6.0,69.0,1.0,0.0
M,South East,Silver,E,8.0,71.0,5.0,0.0
M,South East,Gold,C,10.0,41.0,8.0,0.0
F,Midlands,Silver,F,14.0,38.0,8.0,1.0
M,South West,Gold,C,9.0,62.0,2.0,0.0
F,Midlands,Tin,F,3.0,45.0,5.0,0.0
F,North,Gold,A,4.0,56.0,8.0,0.0
F,Midlands,Gold,E,16.0,51.0,5.0,0.0
M,South East,Tin,A,8.0,47.0,8.0,0.0
F,Midlands,Tin,D,10.0,45.0,4.0,0.0
F,Midlands,Tin,D,8.0,32.0,5.0,1.0
F,South East,Silver,C,9.0,53.0,6.549493629532832,0.0
M,Midlands,Tin,D,13.0,60.0,4.0,0.0
F,North,Silver,D,15.0,40.0,9.0,1.0
F,Scottish,Silver,B,9.0,66.0,5.0,1.0
M,North,Silver,E,2.0,57.0,6.549493629532832,0.0
F,South East,Silver,C,5.0,57.0,3.0,0.0
M,Midlands,Silver,F,13.0,57.0,6.0,0.0
M,South East,Tin,D,9.0,31.0,5.0,1.0
F,North,Tin,C,6.0,47.0,5.0,0.0
F,South East,Silver,F,7.0,39.0,6.0,1.0
M,North,Tin,C,6.0,37.0,4.0,0.0
F,North,Gold,C,6.0,45.0,6.0,0.0
F,North,Silver,B,8.0,51.0,9.0,0.0
M,North,Tin,F,10.0,41.0,5.0,0.0
M,South East,Silver,F,7.0,55.0,9.0,0.0
F,South East,Silver,C,9.0,42.0,2.0,1.0
F,Midlands,Platinum,B,10.0,58.0,3.0,0.0
F,Midlands,Tin,F,13.0,46.0,5.0,0.0
F,Midlands,Silver,B,10.0,35.0,3.0,1.0
F,Midlands,Silver,D,4.0,47.0,4.0,0.0
M,South East,Silver,A,8.0,35.0,1.0,1.0
F,South East,Tin,D,8.0,35.0,5.0,0.0
F,Midlands,Silver,F,6.0,54.0,4.0,0.0
M,Midlands,Gold,C,6.0,74.0,9.0,0.0
M,North,Gold,B,9.0,62.0,7.0,0.0
M,Scottish,Silver,E,9.0,50.0,2.0,0.0
M,North,Gold,E,12.0,67.0,3.0,0.0
M,South East,Platinum,E,12.0,74.0,6.549493629532832,0.0
F,Midlands,Gold,A,3.0,71.0,8.0,0.0
M,South East,Platinum,C,10.0,67.0,8.0,0.0
M,Midlands,Silver,A,7.0,69.0,3.0,0.0
M,Midlands,Silver,C,7.0,56.0,5.0,0.0
M,North,Silver,F,4.0,62.0,5.0,0.0
F,South East,Silver,B,14.0,37.0,11.0,1.0
M,South East,Silver,E,8.0,71.0,8.0,1.0
M,South East,Gold,B,4.0,74.0,5.0,0.0
F,South East,Silver,C,18.0,35.0,5.0,1.0
M,Midlands,Gold,C,13.0,44.0,7.0,1.0
M,Midlands,Silver,D,17.0,53.0,9.0,0.0
F,North,Tin,D,10.0,44.0,8.0,1.0
F,South East,Silver,A,11.0,27.0,8.0,1.0
F,Scottish,Tin,F,4.0,49.0,5.0,0.0
F,Midlands,Tin,E,10.0,35.0,6.0,0.0
F,North,Tin,C,11.0,46.0,5.0,0.0
M,Scottish,Gold,F,10.0,75.0,3.0,0.0
F,North,Tin,E,16.0,54.0,5.0,0.0
M,Midlands,Tin,D,9.0,48.0,5.0,0.0
F,South East,Tin,C,5.0,54.0,7.0,1.0
M,North,Silver,F,6.0,61.0,2.0,0.0
M,North,Silver,B,4.0,76.0,6.0,0.0
F,South East,Silver,A,4.0,69.0,9.0,0.0
F,Midlands,Tin,D,10.0,68.0,7.0,1.0
M,Scottish,Gold,F,6.0,77.0,18.0,1.0
F,Midlands,Tin,E,6.0,58.0,5.0,0.0
F,South East,Gold,B,7.0,52.0,6.549493629532832,0.0
F,Midlands,Gold,B,5.0,63.0,3.0,0.0
M,South East,Silver,B,8.0,64.0,7.0,0.0
M,North,Tin,F,5.0,38.0,4.0,1.0
F,North,Silver,D,6.0,71.0,12.0,0.0
F,South East,Gold,B,9.0,33.0,8.0,0.0
F,North,Silver,F,6.0,76.0,8.0,0.0
F,Midlands,Tin,D,10.0,66.0,5.0,1.0
F,Midlands,Silver,F,5.0,76.0,16.0,0.0
F,South East,Gold,F,6.0,61.0,1.0,0.0
F,South East,Tin,B,10.0,55.0,5.0,1.0
F,South East,Tin,D,5.0,41.0,7.0,0.0
F,South East,Silver,A,10.0,49.0,6.0,0.0
F,South West,Tin,C,12.0,33.0,10.0,1.0
F,South East,Gold,A,6.0,66.0,7.0,0.0
M,North,Gold,E,4.0,50.0,1.0,0.0
M,Midlands,Silver,D,11.0,74.0,5.0,0.0
F,South East,Gold,B,8.0,55.0,1.0,1.0
F,South East,Gold,C,9.0,58.0,11.0,1.0
F,South East,Gold,D,10.0,53.0,2.0,1.0
F,Midlands,Tin,F,11.0,31.0,5.0,0.0
F,Midlands,Silver,E,8.0,39.0,6.0,1.0
F,Midlands,Gold,D,15.0,62.0,5.0,1.0
F,Scottish,Silver,F,9.0,52.0,6.0,0.0
F,South East,Silver,A,6.0,23.0,1.0,0.0
F,North,Silver,F,8.0,55.0,19.0,0.0
F,Scottish,Gold,B,6.0,68.0,6.0,0.0
F,South East,Gold,E,8.0,70.0,6.549493629532832,0.0
M,Midlands,Gold,C,5.0,48.0,1.0,0.0
F,South East,Tin,F,9.0,36.0,8.0,0.0
F,South West,Silver,D,14.0,40.0,8.0,0.0
F,Midlands,Silver,E,7.0,43.0,1.0,0.0
M,South West,Tin,F,11.0,48.0,5.0,1.0
F,South East,Gold,A,8.881476641620386,32.0,8.0,1.0
M,Midlands,Gold,B,6.0,74.0,6.549493629532832,0.0
F,North,Silver,D,7.0,34.0,8.0,0.0
F,South East,Gold,D,10.0,44.0,1.0,1.0
F,Midlands,Silver,D,16.0,60.0,2.0,1.0
F,Midlands,Silver,F,17.0,34.0,12.0,1.0
F,Midlands,Tin,D,8.0,42.0,8.0,1.0
F,South East,Silver,E,11.0,50.0,4.0,0.0
F,Midlands,Tin,F,10.0,37.0,7.0,1.0
M,Midlands,Gold,B,8.0,60.0,8.0,0.0
F,Midlands,Tin,B,11.0,36.0,8.0,1.0
F,South East,Tin,E,7.0,55.0,11.0,0.0
F,South East,Tin,E,9.0,31.0,5.0,1.0
F,North,Silver,C,7.0,32.0,5.0,0.0
F,Midlands,Silver,D,5.0,60.0,9.0,0.0
F,South East,Silver,B,7.0,77.0,5.0,0.0
F,South East,Gold,E,5.0,56.0,6.549493629532832,0.0
F,South East,Tin,U,3.0,58.0,5.0,0.0
F,Midlands,Tin,E,7.0,56.0,4.0,0.0
F,South East,Gold,A,10.0,76.0,4.0,0.0
F,South East,Silver,B,8.0,55.0,19.0,0.0
M,Midlands,Tin,D,7.0,30.0,6.0,0.0
M,North,Gold,A,10.0,62.0,4.0,0.0
M,North,Silver,E,4.0,65.0,8.0,0.0
F,South East,Silver,F,7.0,59.0,11.0,0.0
F,South East,Tin,B,7.0,46.0,8.0,0.0
F,North,Gold,B,14.0,59.0,8.0,1.0
F,South East,Gold,B,8.0,62.0,8.0,0.0
M,Midlands,Gold,C,10.0,61.0,6.0,0.0
M,North,Tin,F,8.0,37.0,8.0,0.0
F,North,Gold,B,7.0,67.0,4.0,0.0
F,South East,Platinum,C,3.0,57.0,3.0,0.0
M,Midlands,Tin,F,6.0,44.0,4.0,0.0
M,Midlands,Silver,E,6.0,73.0,4.0,0.0
F,South East,Gold,D,4.0,49.0,4.0,0.0
M,Scottish,Tin,C,12.0,60.0,5.0,0.0
M,South East,Gold,D,9.0,74.0,3.0,0.0
F,North,Tin,A,6.0,48.0,9.0,0.0
F,South West,Tin,F,4.0,43.0,4.0,1.0
F,North,Gold,D,12.0,73.0,5.0,0.0
F,South East,Tin,B,12.0,49.0,8.0,0.0
F,North,Tin,F,16.0,30.0,5.0,1.0
F,South East,Silver,A,9.0,57.0,8.0,1.0
F,South East,Gold,F,11.0,45.0,14.0,0.0
F,Midlands,Silver,B,7.0,31.0,2.0,1.0
F,North,Gold,F,6.0,47.0,2.0,0.0
F,South East,Tin,E,11.0,39.0,7.0,1.0
F,Scottish,Tin,D,13.0,49.0,5.0,0.0
F,Midlands,Tin,B,3.0,76.0,6.549493629532832,0.0
M,Midlands,Silver,C,11.0,50.0,5.0,0.0
F,South West,Silver,E,5.0,57.0,8.0,0.0
M,Midlands,Silver,C,6.0,38.0,1.0,0.0
M,South East,Silver,B,14.0,39.0,1.0,0.0
M,North,Tin,F,6.0,68.0,7.0,0.0
F,Midlands,Tin,D,8.0,45.0,4.0,0.0
F,South East,Gold,C,6.0,30.0,2.0,1.0
F,South East,Gold,B,4.0,64.0,10.0,0.0
F,South East,Silver,E,14.0,53.0,8.0,1.0
M,South East,Gold,C,11.0,64.0,6.549493629532832,0.0
M,South East,Gold,F,4.0,38.0,5.0,0.0
M,Midlands,Gold,B,8.0,59.0,9.0,0.0
F,Midlands,Gold,D,9.0,64.0,8.0,1.0
F,South East,Silver,C,12.0,28.0,1.0,0.0
F,South West,Tin,B,12.0,56.0,5.0,0.0
F,South East,Tin,C,8.0,47.0,4.0,0.0
F,South East,Silver,C,3.0,33.0,9.0,0.0
F,North,Tin,F,5.0,50.0,9.0,0.0
F,South East,Gold,D,10.0,77.0,9.0,0.0
M,South East,Tin,E,7.0,33.0,5.0,1.0
F,South East,Tin,B,11.0,68.0,8.0,1.0
F,Midlands,Silver,E,14.0,49.0,4.0,1.0
M,Midlands,Tin,F,9.0,51.0,5.0,0.0
M,North,Gold,B,6.0,74.0,8.0,0.0
F,South East,Tin,D,8.0,43.0,5.0,0.0
M,Midlands,Silver,E,9.0,49.0,4.0,0.0
F,North,Tin,F,7.0,35.0,5.0,1.0
F,Midlands,Tin,D,6.0,40.0,4.0,0.0
F,South East,Gold,F,6.0,68.0,10.0,1.0
F,South East,Gold,A,8.0,67.0,11.0,0.0
F,South East,Silver,B,10.0,44.0,5.0,1.0
M,South East,Tin,F,7.0,67.0,5.0,0.0
M,Scottish,Silver,B,10.0,18.0,1.0,0.0
F,South East,Silver,E,12.0,54.0,9.0,0.0
F,Midlands,Silver,D,11.0,51.0,11.0,0.0
M,North,Silver,C,8.0,50.0,9.0,0.0
F,North,Tin,B,4.0,55.0,5.0,0.0
F,Midlands,Silver,B,10.0,53.0,8.0,0.0
F,North,Tin,F,6.0,42.0,5.0,0.0
F,Scottish,Tin,D,6.0,33.0,5.0,1.0
F,South West,Gold,B,5.0,77.0,2.0,0.0
F,South East,Gold,B,12.0,74.0,5.0,1.0
F,South East,Tin,F,11.0,55.0,5.0,0.0
F,South East,Gold,D,5.0,37.0,4.0,1.0
F,North,Tin,E,13.0,55.0,8.0,0.0
M,North,Tin,F,10.0,50.0,5.0,1.0
M,South East,Silver,A,9.0,35.0,2.0,0.0
F,South East,Tin,E,10.0,47.0,4.0,0.0
F,South West,Gold,D,9.0,72.0,0.0,0.0
M,South East,Tin,B,8.0,54.0,16.0,0.0
M,South West,Gold,C,3.0,69.0,6.549493629532832,0.0
F,South East,Silver,B,5.0,53.0,9.0,0.0
F,North,Gold,F,6.0,50.0,1.0,1.0
M,South East,Gold,C,6.0,60.0,5.0,0.0
F,South East,Silver,A,12.0,57.0,6.549493629532832,0.0
M,Midlands,Silver,F,18.0,31.0,4.0,1.0
F,North,Silver,D,11.0,46.0,8.0,1.0
F,South East,Tin,F,5.0,45.0,5.0,0.0
F,Midlands,Tin,C,9.0,46.0,8.0,0.0
F,Midlands,Silver,D,9.0,33.0,9.0,1.0
F,South East,Tin,B,6.0,49.0,4.0,0.0
M,North,Silver,F,8.0,41.0,5.0,0.0
F,Midlands,Tin,F,10.0,52.0,1.0,0.0
F,South East,Silver,F,6.0,59.0,6.0,0.0
F,North,Gold,B,8.0,56.0,8.0,0.0
M,North,Silver,F,10.0,36.0,1.0,1.0
F,South East,Tin,E,9.0,71.0,7.0,0.0
F,Midlands,Silver,B,5.0,40.0,6.0,0.0
F,Midlands,Silver,F,9.0,63.0,6.549493629532832,0.0
M,South East,Silver,B,10.0,54.0,5.0,0.0
F,North,Gold,E,1.0,64.0,2.0,0.0
M,North,Tin,C,6.0,45.0,10.0,0.0
M,North,Tin,F,5.0,35.0,5.0,0.0
F,South East,Silver,C,8.0,53.0,4.0,0.0
M,Midlands,Tin,D,8.0,51.0,5.0,0.0
F,North,Gold,E,8.0,64.0,2.0,0.0
F,South East,Silver,D,12.0,35.0,11.0,1.0
F,South East,Silver,A,5.0,75.0,16.0,0.0
F,Midlands,Gold,B,13.0,43.0,1.0,0.0
M,Midlands,Gold,D,9.0,72.0,2.0,0.0
F,South East,Gold,C,11.0,74.0,5.0,0.0
M,North,Gold,C,10.0,71.0,12.0,1.0
F,South East,Gold,B,8.0,70.0,3.0,1.0
F,Midlands,Tin,C,11.0,33.0,8.0,0.0
F,Midlands,Gold,C,8.0,64.0,5.0,0.0
F,Midlands,Tin,C,9.0,38.0,4.0,1.0
M,South West,Silver,F,10.0,46.0,3.0,0.0
M,South East,Silver,D,6.0,76.0,6.549493629532832,0.0
F,South East,Tin,B,12.0,58.0,4.0,1.0
F,North,Silver,E,17.0,50.0,2.0,1.0
F,Midlands,Tin,F,14.0,52.0,9.0,0.0
F,South East,Gold,C,8.0,43.0,8.0,0.0
F,South East,Silver,A,12.0,29.0,8.0,1.0
F,South East,Tin,E,7.0,60.0,13.0,0.0
F,South East,Tin,A,12.0,25.0,5.0,1.0
F,North,Silver,F,6.0,60.0,8.0,0.0
F,North,Tin,F,13.0,43.0,5.0,1.0
M,North,Gold,C,6.0,71.0,4.0,0.0
F,South East,Gold,D,8.0,78.0,5.0,1.0
M,Midlands,Gold,C,3.0,62.0,5.0,0.0
F,South East,Silver,C,11.0,30.0,2.0,1.0
F,Midlands,Silver,E,6.0,60.0,6.0,0.0
F,Midlands,Silver,E,8.0,41.0,7.0,1.0
F,Scottish,Gold,F,14.0,77.0,2.0,0.0
F,Midlands,Gold,C,11.0,76.0,2.0,0.0
M,North,Silver,F,10.0,55.0,4.0,0.0
F,Midlands,Gold,F,9.0,41.0,8.0,0.0
F,Midlands,Gold,A,16.0,33.0,3.0,1.0
M,South East,Tin,C,14.0,38.0,8.0,1.0
F,Midlands,Tin,C,10.0,68.0,8.0,1.0
F,Midlands,Silver,F,12.0,32.0,4.0,1.0
F,South East,Tin,F,9.0,39.0,4.0,1.0
F,South East,Platinum,E,7.0,54.0,4.0,0.0
F,Midlands,Tin,D,6.0,61.0,11.0,1.0
M,Midlands,Tin,D,12.0,53.0,8.0,0.0
F,South East,Gold,B,15.0,52.0,7.0,1.0
F,Midlands,Gold,C,9.0,55.0,10.0,1.0
M,Scottish,Gold,C,11.0,51.0,6.549493629532832,0.0
F,South East,Silver,A,10.0,62.0,11.0,0.0
F,South East,Silver,D,9.0,59.0,5.0,0.0
F,Midlands,Platinum,C,7.0,72.0,7.0,0.0
